0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,1,,,,,,,
2,spawn,,left,normal,1,30,5,2,0.5
3,spawn,,right,normal,1,30,5,2,0.5
4,wait,3,,,,,,,
5,spawn,,right,normal,3,50,15,1,0.5
6,spawn,,left,normal,1,30,10,2,0.5
7,wait,4,,,,,,,
8,spawn,,right,normal,1,30,5,2,0.5
9,spawn,,left,normal,2,40,10,1,0.5
10,spawn,,right,normal,2,40,10,1,0.5
11,wait,3,,,,,,,
12,spawn,,right,normal,1,30,5,2,0.5
13,spawn,,left,normal,1,30,5,2,0.5
14,wait,5,,,,,,,
15,spawn,,left,normal,1,30,5,2,0.5
16,spawn,,right,normal,2,40,10,1,0.5
17,wait,3,,,,,,,
18,spawn,,right,normal,1,30,5,2,0.5
19,spawn,,left,normal,1,30,5,2,0.5
20,wait,8,,,,,,,
21,spawn,,right,boss,1,100,30,1,2
